CUSTOMER_ID,GENDER,PROFESSION,SMS_AVG,VOICE_AVG,RESPONSE
1,Male,White collar,45,100,NO
2,Male,Blue collar,32,67,NO
3,Male,Blue collar,57,30,NO
4,Male,Blue collar,120,150,YES
5,Female,White collar,87,81,NO
6,Male,Blue collar,98,32,NO
7,Female,White collar,110,78,NO
8,Female,White collar,68,90,YES
9,Male,White collar,67,90,NO
10,Male,Blue collar,23,110,NO
11,Female,Blue collar,57,30,NO
12,Female,White collar,125,110,YES
13,Female,White collar,87,81,NO
14,Male,Blue collar,56,56,NO
15,Female,White collar,56,120,NO
16,Female,White collar,90,30,YES
17,Male,White collar,78,45,NO
18,Male,Blue collar,32,87,NO
19,Male,Blue collar,57,30,NO
20,Male,White collar,110,100,YES
21,Female,White collar,87,81,NO
22,Male,Blue collar,34,45,NO
23,Female,White collar,65,32,NO
24,Male,White collar,100,90,YES
25,Male,White collar,21,56,NO
26,Male,Blue collar,65,45,NO
27,Female,Blue collar,57,30,NO
28,Female,Blue collar,100,105,YES
29,Female,Blue collar,132,81,NO
30,Male,Blue collar,110,97,NO
31,Female,White collar,112,128,NO
32,Male,White collar,100,60,YES
33,Male,White collar,45,110,NO
34,Male,Blue collar,43,67,NO
35,Male,Blue collar,57,30,NO
36,Female,White collar,143,140,YES
37,Female,White collar,87,81,YES
38,Male,Blue collar,90,45,NO
39,Male,White collar,130,67,NO
40,Female,White collar,98,50,YES
41,Male,White collar,67,57,NO
42,Male,Blue collar,32,55,NO
43,Female,Blue collar,57,30,NO
44,Male,White collar,136,60,YES
45,Male,White collar,87,81,NO
46,Male,Blue collar,67,34,NO
47,Male,White collar,118,111,NO
48,Female,White collar,113,78,YES
49,Female,White collar,135,167,YES
50,Male,Blue collar,23,34,NO
