CARD_ID	CAMPAIGN_RESPONSE
9000005	"F"
9000007	"F"
9000008	"T"
9000009	"F"
9000012	"F"
9000013	"F"
9000014	"T"
9000015	"F"
9000019	"F"
9000023	"T"
9000024	"T"
9000027	"T"
9000028	"F"
9000034	"T"
9000035	"F"
9000036	"F"
9000037	"F"
9000038	"T"
9000039	"F"
9000040	"F"
9000041	"F"
9000042	"F"
9000046	"F"
9000047	"F"
9000048	"F"
9000052	"T"
9000053	"T"
9000054	"T"
9000055	"F"
9000056	"F"
9000057	"F"
9000058	"F"
9000062	"F"
9000063	"T"
9000067	"T"
9000068	"F"
9000070	"F"
9000071	"F"
9000072	"T"
9000073	"F"
9000074	"T"
9000076	"F"
9000082	"F"
9000083	"F"
9000085	"F"
9000087	"T"
9000089	"T"
9000092	"F"
9000095	"T"
9000097	"F"
9000098	"F"
9000100	"F"
9000101	"F"
9000102	"F"
9000106	"T"
9000109	"T"
9000114	"T"
9000115	"T"
9000123	"F"
9000125	"T"
9000126	"F"
9000127	"F"
9000130	"F"
9000131	"F"
9000132	"T"
9000133	"F"
9000136	"F"
9000138	"F"
9000139	"T"
9000140	"T"
9000141	"F"
9000143	"F"
9000144	"T"
9000146	"T"
9000147	"T"
9000150	"F"
9000151	"T"
9000153	"T"
9000155	"F"
9000157	"F"
9000158	"F"
9000159	"T"
9000160	"T"
9000163	"T"
9000165	"T"
9000168	"F"
9000169	"T"
9000170	"T"
9000171	"F"
9000174	"F"
9000175	"F"
9000176	"F"
9000178	"F"
9000179	"F"
9000180	"F"
9000181	"F"
9000183	"F"
9000185	"T"
9000186	"F"
9000188	"F"
9000192	"T"
9000193	"T"
9000195	"T"
9000197	"F"
9000203	"F"
9000204	"F"
9000205	"F"
9000207	"F"
9000209	"T"
9000210	"T"
9000211	"F"
9000212	"T"
9000214	"F"
9000217	"F"
9000218	"F"
9000219	"F"
9000220	"F"
9000221	"F"
9000224	"F"
9000227	"F"
9000228	"F"
9000229	"T"
9000230	"T"
9000233	"F"
9000234	"F"
9000235	"F"
9000236	"F"
9000237	"F"
9000238	"F"
9000239	"F"
9000240	"F"
9000244	"F"
9000246	"F"
9000251	"T"
9000252	"F"
9000253	"F"
9000260	"F"
9000261	"F"
9000263	"F"
9000264	"F"
9000266	"F"
9000267	"F"
9000268	"F"
9000269	"T"
9000270	"T"
9000271	"T"
9000274	"F"
9000275	"F"
9000278	"F"
9000279	"F"
9000280	"F"
9000281	"F"
9000282	"T"
9000286	"F"
9000288	"F"
9000290	"F"
9000291	"F"
9000293	"F"
9000294	"F"
9000295	"T"
9000296	"F"
9000297	"F"
9000298	"F"
9000299	"T"
9000302	"F"
9000304	"F"
9000306	"F"
9000307	"F"
9000308	"F"
9000313	"T"
9000314	"T"
9000315	"F"
9000317	"T"
9000319	"F"
9000321	"F"
9000322	"F"
9000325	"T"
9000328	"F"
9000330	"F"
9000332	"F"
9000333	"F"
9000335	"F"
9000338	"T"
9000341	"T"
9000342	"F"
9000345	"T"
9000348	"T"
9000351	"T"
9000355	"F"
9000357	"F"
9000358	"F"
9000360	"F"
9000361	"F"
9000362	"F"
9000363	"F"
9000365	"F"
9000366	"T"
9000368	"F"
9000369	"F"
9000374	"F"
9000376	"F"
9000377	"F"
9000378	"F"
9000379	"F"
9000382	"F"
9000385	"F"
9000386	"F"
9000389	"F"
9000391	"F"
9000392	"T"
9000393	"T"
9000394	"F"
9000395	"F"
9000396	"F"
9000401	"F"
9000402	"F"
9000407	"F"
9000411	"F"
9000412	"F"
9000417	"T"
9000418	"T"
9000420	"F"
9000423	"F"
9000425	"F"
9000428	"F"
9000429	"T"
9000431	"F"
9000433	"F"
9000437	"F"
9000438	"F"
9000442	"F"
9000443	"F"
9000444	"F"
9000445	"F"
9000447	"T"
9000448	"F"
9000450	"F"
9000451	"F"
9000453	"T"
9000454	"F"
9000455	"T"
9000456	"T"
9000458	"F"
9000459	"T"
9000460	"T"
9000461	"F"
9000462	"F"
9000463	"F"
9000464	"T"
9000465	"F"
9000466	"T"
9000469	"T"
9000472	"F"
9000473	"F"
9000475	"F"
9000477	"F"
9000481	"F"
9000482	"F"
9000483	"F"
9000485	"F"
9000486	"F"
9000487	"T"
9000489	"F"
9000490	"F"
9000491	"T"
9000492	"F"
9000494	"F"
9000495	"F"
9000497	"T"
9000500	"F"
9000501	"F"
9000503	"F"
9000506	"F"
9000507	"F"
9000509	"F"
9000512	"T"
9000515	"T"
9000516	"F"
9000519	"F"
9000520	"T"
9000521	"F"
9000524	"T"
9000525	"T"
9000526	"F"
9000527	"F"
9000528	"F"
9000529	"T"
9000530	"F"
9000534	"F"
9000535	"F"
9000536	"F"
9000537	"F"
9000538	"F"
9000539	"T"
9000540	"T"
9000542	"F"
9000543	"T"
9000546	"T"
9000548	"T"
9000549	"F"
9000550	"T"
9000553	"F"
9000554	"T"
9000557	"F"
9000560	"F"
9000561	"F"
9000566	"T"
9000567	"F"
9000568	"F"
9000569	"T"
9000571	"T"
9000572	"T"
9000574	"T"
9000578	"F"
9000579	"F"
9000581	"F"
9000582	"F"
9000583	"T"
9000584	"F"
9000586	"T"
9000587	"F"
9000588	"F"
9000590	"F"
9000591	"F"
9000592	"T"
9000593	"T"
9000595	"F"
9000596	"F"
9000597	"F"
9000598	"F"
9000600	"F"
9000601	"F"
9000602	"T"
9000605	"F"
9000606	"F"
9000607	"F"
9000610	"F"
9000611	"F"
9000614	"F"
9000616	"F"
9000617	"F"
9000619	"F"
9000620	"T"
9000622	"T"
9000623	"T"
9000626	"F"
9000627	"F"
9000630	"F"
9000632	"F"
9000633	"F"
9000635	"F"
9000637	"F"
9000638	"F"
9000639	"T"
9000642	"F"
9000643	"F"
9000646	"F"
9000649	"F"
9000650	"F"
9000652	"F"
9000653	"F"
9000655	"F"
9000659	"T"
9000660	"F"
9000662	"F"
9000664	"F"
9000667	"F"
9000669	"T"
9000670	"F"
9000675	"F"
9000676	"F"
9000679	"F"
9000681	"F"
9000682	"F"
9000686	"F"
9000687	"F"
9000689	"F"
9000696	"F"
9000697	"F"
9000703	"T"
9000704	"T"
9000705	"F"
9000709	"F"
9000710	"F"
9000714	"F"
9000720	"F"
9000725	"F"
9000726	"F"
9000727	"T"
9000728	"F"
9000729	"F"
9000731	"F"
9000732	"T"
9000733	"T"
9000734	"T"
9000735	"F"
9000736	"T"
9000737	"F"
9000738	"F"
9000739	"F"
9000740	"T"
9000742	"F"
9000744	"T"
9000746	"F"
9000747	"F"
9000750	"T"
9000751	"F"
9000756	"F"
9000759	"F"
9000760	"F"
9000762	"T"
9000764	"F"
9000766	"T"
9000767	"T"
9000770	"T"
9000773	"F"
9000774	"F"
9000775	"T"
9000776	"F"
9000780	"F"
9000782	"F"
9000788	"F"
9000790	"T"
9000791	"F"
9000792	"T"
9000793	"F"
9000794	"T"
9000796	"F"
9000798	"F"
9000799	"F"
9000800	"T"
9000802	"F"
9000803	"F"
9000806	"F"
9000807	"T"
9000809	"F"
9000810	"F"
9000812	"F"
9000813	"T"
9000815	"T"
9000816	"F"
9000817	"F"
9000818	"F"
9000821	"T"
9000824	"F"
9000825	"F"
9000826	"F"
9000827	"F"
9000828	"T"
9000829	"F"
9000831	"F"
9000834	"F"
9000836	"F"
9000837	"F"
9000839	"F"
9000842	"F"
9000843	"T"
9000845	"F"
9000846	"F"
9000848	"F"
9000849	"T"
9000851	"F"
9000853	"F"
9000854	"F"
9000857	"F"
9000859	"F"
9000861	"T"
9000863	"F"
9000866	"T"
9000868	"F"
9000873	"T"
9000875	"F"
9000877	"F"
9000881	"F"
9000883	"F"
9000885	"F"
9000886	"F"
9000887	"F"
9000890	"F"
9000891	"F"
9000895	"F"
9000899	"F"
9000900	"T"
9000901	"F"
9000903	"T"
9000904	"T"
9000905	"F"
9000907	"F"
9000908	"F"
9000912	"F"
9000913	"F"
9000920	"T"
9000921	"F"
9000923	"F"
9000924	"T"
9000925	"F"
9000926	"F"
9000927	"F"
9000930	"T"
9000931	"F"
9000932	"F"
9000933	"F"
9000937	"F"
9000941	"F"
9000943	"T"
9000944	"F"
9000952	"T"
9000953	"F"
9000954	"T"
9000957	"T"
9000959	"F"
9000961	"F"
9000962	"T"
9000964	"F"
9000965	"F"
9000966	"T"
9000969	"F"
9000971	"F"
9000975	"F"
9000976	"F"
9000977	"T"
9000978	"F"
9000979	"F"
9000981	"F"
9000982	"F"
9000983	"F"
9000984	"F"
9000985	"F"
9000986	"F"
9000987	"F"
9000988	"F"
9000990	"F"
9000991	"T"
9000996	"F"
9000997	"F"
9000998	"F"
9000999	"F"
9001000	"F"
9001002	"F"
9001003	"F"
9001004	"F"
9001007	"T"
9001008	"F"
9001009	"T"
9001012	"F"
9001013	"T"
9001014	"F"
9001018	"F"
9001019	"F"
9001020	"F"
9001024	"F"
9001026	"T"
9001031	"F"
9001033	"F"
9001039	"F"
9001041	"F"
9001042	"F"
9001044	"F"
9001046	"F"
9001049	"F"
9001052	"F"
9001055	"F"
9001056	"F"
9001057	"F"
9001058	"F"
9001059	"T"
9001061	"F"
9001062	"T"
9001066	"F"
9001068	"T"
9001072	"F"
9001074	"F"
9001075	"F"
9001078	"T"
9001081	"F"
9001082	"T"
9001085	"T"
9001087	"F"
9001088	"F"
9001089	"F"
9001090	"F"
9001092	"T"
9001094	"F"
9001097	"F"
9001098	"F"
9001099	"F"
9001100	"F"
9001101	"T"
9001105	"F"
9001106	"F"
9001110	"T"
9001111	"F"
9001112	"F"
9001115	"F"
9001118	"F"
9001120	"F"
9001123	"F"
9001124	"T"
9001126	"F"
9001127	"F"
9001129	"F"
9001130	"F"
9001131	"T"
9001133	"F"
9001138	"F"
9001146	"F"
9001147	"F"
9001148	"F"
9001149	"F"
9001151	"F"
9001152	"F"
9001153	"F"
9001154	"T"
9001156	"F"
9001158	"F"
9001159	"T"
9001162	"F"
9001163	"F"
9001164	"T"
9001165	"F"
9001166	"T"
9001169	"F"
9001170	"F"
9001171	"F"
9001174	"F"
9001177	"T"
9001180	"F"
9001181	"F"
9001184	"F"
9001187	"F"
9001188	"F"
9001190	"F"
9001195	"F"
9001196	"F"
9001197	"T"
9001199	"F"
9001200	"F"
9001201	"T"
9001203	"F"
9001204	"F"
9001205	"F"
9001206	"F"
9001208	"F"
9001209	"F"
9001210	"T"
9001215	"T"
9001218	"F"
9001219	"F"
9001220	"F"
9001222	"T"
9001223	"F"
9001225	"F"
9001231	"F"
9001236	"F"
9001237	"F"
9001238	"T"
9001239	"T"
9001241	"F"
9001247	"T"
9001248	"F"
9001250	"F"
9001251	"F"
9001252	"F"
9001254	"F"
9001255	"F"
9001256	"T"
9001258	"F"
9001259	"T"
9001263	"F"
9001265	"F"
9001266	"F"
9001267	"F"
9001270	"F"
9001271	"F"
9001272	"F"
9001274	"T"
9001277	"T"
9001278	"F"
9001280	"F"
9001281	"F"
9001282	"F"
9001283	"F"
9001284	"F"
9001285	"F"
9001286	"T"
9001287	"T"
9001288	"F"
9001289	"F"
9001290	"T"
9001293	"F"
9001295	"F"
9001296	"F"
9001298	"F"
9001299	"F"
9001300	"F"
9001304	"F"
9001306	"T"
9001309	"F"
9001310	"F"
9001311	"T"
9001312	"F"
9001314	"T"
9001316	"F"
9001319	"T"
9001320	"T"
9001321	"F"
9001322	"T"
9001327	"F"
9001328	"F"
9001330	"F"
9001333	"T"
9001336	"F"
9001337	"F"
9001339	"F"
9001340	"F"
9001341	"F"
9001342	"F"
9001343	"F"
9001344	"T"
9001345	"F"
9001349	"F"
9001352	"T"
9001354	"F"
9001358	"F"
9001360	"F"
9001364	"T"
9001365	"F"
9001371	"F"
9001374	"F"
9001376	"F"
9001378	"F"
9001382	"T"
9001383	"F"
9001384	"T"
9001385	"F"
9001389	"F"
9001390	"F"
9001392	"T"
9001394	"F"
9001395	"F"
9001396	"F"
9001398	"F"
9001402	"F"
9001404	"F"
9001406	"F"
9001410	"T"
9001411	"F"
9001412	"T"
9001413	"F"
9001417	"T"
9001418	"F"
9001419	"F"
9001421	"T"
9001422	"F"
9001424	"F"
9001426	"T"
9001427	"F"
9001428	"F"
9001430	"F"
9001431	"F"
9001432	"T"
9001433	"F"
9001434	"F"
9001435	"F"
9001436	"T"
9001440	"F"
9001441	"F"
9001442	"T"
9001443	"F"
9001445	"F"
9001446	"T"
9001448	"T"
9001449	"F"
9001450	"F"
9001453	"F"
9001454	"F"
9001455	"F"
9001457	"T"
9001458	"F"
9001461	"F"
9001463	"F"
9001465	"F"
9001467	"T"
9001470	"F"
9001473	"F"
9001474	"F"
9001475	"T"
9001477	"F"
9001479	"F"
9001480	"F"
9001481	"F"
9001482	"F"
9001484	"F"
9001486	"F"
9001487	"F"
9001488	"F"
9001491	"T"
9001493	"F"
9001494	"F"
9001496	"F"
9001497	"T"
9001498	"F"
9001499	"F"
9001501	"F"
9001502	"F"
9001504	"F"
9001506	"F"
9001507	"F"
9001508	"T"
9001509	"F"
9001511	"F"
9001512	"F"
9001514	"T"
9001515	"T"
9001518	"F"
9001521	"F"
9001522	"F"
9001523	"T"
9001524	"F"
9001525	"F"
9001532	"F"
9001537	"F"
9001538	"F"
9001543	"F"
9001544	"F"
9001545	"F"
9001552	"F"
9001555	"F"
9001557	"F"
9001558	"F"
9001560	"T"
9001561	"F"
9001562	"F"
9001563	"T"
9001568	"T"
9001573	"F"
9001574	"T"
9001575	"T"
9001576	"F"
9001582	"F"
9001583	"F"
9001586	"F"
9001593	"F"
9001595	"F"
9001597	"F"
9001599	"F"
9001603	"F"
9001605	"F"
9001606	"T"
9001608	"F"
9001610	"F"
9001611	"T"
9001612	"F"
9001613	"F"
9001616	"F"
9001618	"T"
9001620	"F"
9001623	"F"
9001624	"F"
9001625	"F"
9001626	"F"
9001627	"F"
9001630	"F"
9001631	"F"
9001634	"F"
9001635	"T"
9001637	"F"
9001638	"F"
9001639	"F"
9001640	"F"
9001644	"F"
9001646	"F"
9001648	"F"
9001649	"F"
9001653	"F"
9001655	"F"
9001656	"T"
9001657	"T"
9001658	"F"
9001659	"F"
9001660	"F"
9001661	"F"
9001662	"T"
9001663	"F"
9001665	"F"
9001667	"F"
9001670	"T"
9001671	"F"
9001673	"F"
9001678	"T"
9001680	"F"
9001681	"F"
9001683	"F"
9001684	"F"
9001685	"T"
9001686	"T"
9001687	"T"
9001690	"F"
9001691	"F"
9001693	"F"
9001694	"F"
9001696	"F"
9001697	"F"
9001699	"F"
9001700	"F"
9001701	"T"
9001704	"F"
9001706	"T"
9001708	"F"
9001711	"F"
9001712	"F"
9001715	"T"
9001716	"F"
9001719	"F"
9001720	"F"
9001721	"T"
9001724	"F"
9001725	"F"
9001729	"T"
9001730	"F"
9001731	"F"
9001732	"F"
9001734	"T"
9001735	"F"
9001737	"F"
9001740	"F"
9001745	"T"
9001747	"F"
9001748	"F"
9001749	"F"
9001750	"F"
9001751	"F"
9001753	"F"
9001757	"F"
9001758	"F"
9001760	"T"
9001761	"F"
9001763	"F"
9001765	"F"
9001766	"F"
9001771	"F"
9001773	"F"
9001776	"F"
9001778	"F"
9001785	"T"
9001787	"F"
9001789	"F"
9001790	"F"
9001794	"F"
9001795	"F"
9001797	"F"
9001801	"F"
9001802	"F"
9001807	"F"
9001808	"F"
9001810	"F"
9001817	"F"
9001819	"F"
9001823	"T"
9001825	"F"
9001826	"F"
9001828	"F"
9001830	"T"
9001834	"F"
9001835	"F"
9001836	"F"
9001839	"F"
