CUST_ID	OUT_COMMUNITY_TOTAL	OUT_COMMUNITY_VOICE	OUT_COMMUNITY_SMS	IN_COMMUNITY_VOICE	IN_COMMUNITY_SMS	IN_COMMUNITY_TOTAL	VOICE_OUT_CALLS	VOICE_IN_CALLS	SMS_OUT_CALLS	MMS_OUT_CALLS	EVENTS_CALLS	INTERNET_CALLS	TOTAL_OUT_CALLS	VOICE_OUT_MINS	VOICE_IN_MINS	GPRS_TRAFFIC	EVENTS_TRAFFIC	OUT_CALLS_ROAMING	OUT_MINS_ROAMING	OUT_CALLS_INTERNATIONAL	OUT_MINS_INTERNATIONAL	OUT_CALLS_PEAK	OUT_CALLS_OFFPEAK	OUT_CALLS_WORK	OUT_CALLS_NONWORK	IN_CALLS_PEAK	IN_CALLS_OFFPEAK	IN_CALLS_WORK	IN_CALLS_NONWORK	DAYS_OUT	DAYS_IN	AGE	GENDER
"C10001"	9.959105	9.543413	0.755283	25.070877	3.224588	26.999948	23.938515	85.208720	0.952386	0.000000	0.000000	0.920169	28.668445	16.700412	86.891121	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.143485	10.706261	15.592447	10.106147	65.358291	27.674411	61.996454	23.527143	15.408944	25.568987	57.175193	"F"
"C10002"	62.621553	61.004625	13.382496	55.258668	14.570813	58.832688	339.326176	400.972355	261.548570	1.093367	3.560414	0.000000	677.340624	664.347116	913.070923	3.678821	0.000000	13.956814	35.291712	1.125876	7.711697	225.727565	66.803394	529.763038	128.432213	322.393759	98.316321	925.015220	206.125083	29.733313	28.856831	42.323506	"M"
"C10003"	37.708142	38.431589	3.457559	32.674331	5.602626	33.909000	201.631700	275.943749	6.485728	0.000000	0.310269	0.000000	218.228683	197.727674	203.205333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	105.521609	56.651500	174.566293	50.968616	247.108048	87.037243	163.319548	39.957732	27.578582	28.062449	43.603240	"M"
"C10004"	11.657388	5.812149	4.521838	26.685568	7.822684	32.037527	13.380224	80.397415	10.300143	0.000000	0.158167	0.000000	23.937014	4.764182	25.750043	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.772130	4.713134	16.088964	6.952836	65.028301	31.081857	86.425967	15.754817	10.905713	20.786581	35.870610	"M"
"C10005"	22.688819	16.822096	2.902318	37.656375	3.455395	40.061273	22.682055	60.782144	2.323378	0.000000	37.131677	0.000000	61.045597	18.183783	25.424203	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12.590650	4.394673	22.224157	43.493611	52.542269	15.430705	42.309277	46.655732	10.680404	22.630735	25.292489	"M"
"C10006"	56.804762	57.970657	1.259928	133.629934	4.146556	145.274913	269.141450	642.500982	0.469933	0.000000	1.556640	0.000000	274.199389	248.276173	411.940086	0.000000	0.000000	0.000000	0.000000	15.321402	14.517825	170.502855	69.990338	216.142629	51.186459	577.362318	181.987602	402.502149	80.818048	28.476052	29.476151	42.768254	"F"
"C10007"	7.344621	7.568175	0.000000	5.382491	2.011790	7.229803	31.847069	33.420685	0.000000	0.000000	0.000000	10.346492	40.158942	238.610888	27.261042	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	19.901059	11.072350	26.479580	5.575935	37.189214	7.224928	24.151359	3.732971	12.846271	11.293585	36.812253	"M"
"C10008"	49.443307	51.655346	1.096774	50.860433	4.875016	52.919025	191.600156	173.574420	1.261340	0.000000	0.000000	0.154901	193.702688	168.927745	159.041261	0.000000	0.000000	0.157695	0.165281	0.000000	0.000000	141.280700	40.555243	166.480913	33.662780	152.440926	41.862474	119.940422	20.987389	27.713534	27.264337	33.653822	"M"
"C10009"	13.985847	8.795198	7.619644	17.642486	8.958838	26.077874	15.270761	53.003820	21.281562	0.000000	8.371286	0.000000	44.115693	16.085983	80.571631	0.000000	0.000000	0.486438	0.314969	0.000000	0.000000	12.933298	1.410143	42.649189	3.403081	51.107831	9.994469	66.307519	6.179290	6.074130	11.770635	36.785642	"F"
"C10010"	28.611457	24.781626	3.552913	26.942283	8.425583	31.652434	132.531121	121.525614	6.587937	0.000000	0.979404	0.000000	135.162181	158.511080	144.430578	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	74.554892	42.029186	112.437452	28.126645	91.370661	34.170037	97.214209	23.730915	26.343613	27.052228	0.000000	"F"
"C10011"	36.784884	35.408154	1.815685	33.696038	7.333093	38.892541	224.309164	245.041336	6.253745	0.000000	0.615689	0.000000	241.913905	188.475689	193.640447	0.000000	0.088165	0.000000	0.000000	0.155933	0.183357	128.445648	63.597615	180.431040	53.301664	182.850990	73.369438	151.306608	43.893701	28.452821	27.598295	24.908119	"M"
"C10012"	24.830947	22.973979	4.756172	22.898596	6.205465	26.116000	65.743527	178.059246	12.979926	0.000000	0.163651	0.000000	82.859134	58.896805	276.636645	0.238826	0.000000	0.000000	0.000000	0.000000	0.000000	44.951265	17.181928	64.374291	13.978145	131.562945	81.197680	124.627979	36.399761	23.779965	27.788339	62.955825	"M"
"C10013"	37.604171	35.947126	2.592441	62.157274	6.228892	69.735459	131.820477	208.222091	3.743584	0.000000	0.494224	0.000000	132.458424	99.922112	183.647736	0.000000	0.919088	0.000000	0.000000	0.000000	0.000000	72.415775	40.338569	98.837847	35.032397	181.146690	68.808802	164.970714	36.585131	29.643126	29.248227	30.089021	"M"
"C10014"	56.047463	51.930517	12.971728	60.756811	15.890326	72.297159	250.022270	287.396122	31.836442	0.000000	0.472144	0.000000	276.453324	489.484435	536.310837	0.000000	0.000000	3.461914	8.588102	0.919213	3.394117	187.920435	26.663278	259.794048	27.217229	294.062167	44.506076	258.130972	19.511531	27.794813	26.333842	29.121571	"M"
"C10015"	61.077030	59.095455	3.568518	40.466886	7.495991	46.394963	145.132712	146.446486	6.562363	0.000000	0.000000	0.000000	152.442072	98.964986	101.542712	0.000000	0.000000	0.000000	0.000000	1.358608	1.425556	95.800740	34.149226	130.651771	24.371382	119.804353	52.823222	92.777018	16.153841	27.896845	26.607314	42.665109	"F"
"C10016"	55.862880	47.645371	12.783285	97.704749	13.664900	114.244440	149.728675	352.340208	22.067896	0.000000	1.116631	0.000000	172.701738	130.504327	307.830420	0.000000	0.000000	0.000000	0.000000	0.331306	0.211118	87.555965	43.218515	131.077761	38.743908	317.810150	58.432239	316.560673	32.820315	28.378375	29.005833	37.887516	"M"
"C10017"	68.772557	70.513064	10.380874	85.054095	12.792830	91.192071	381.270166	411.399590	28.193503	0.820439	0.983932	0.000000	401.758057	358.404282	381.703103	1.830081	0.000000	0.000000	0.000000	1.070568	0.302633	230.976151	121.860984	317.571500	98.437229	294.428465	107.098153	294.506899	63.461807	26.501920	26.427781	38.211727	"F"
"C10018"	5.834148	5.738166	0.000000	4.768740	1.204459	5.804236	28.868343	71.732862	0.000000	0.000000	0.000000	0.000000	27.139036	26.907545	81.879714	0.000000	0.000000	0.499800	0.577459	0.000000	0.000000	17.797551	7.493079	21.676161	6.389660	61.098334	28.079135	41.978313	13.266204	13.140280	20.824805	25.438841	"F"
"C10019"	13.842218	12.192173	2.104981	18.651497	2.472897	21.698339	74.282792	119.695432	3.106084	0.000000	0.000000	0.000000	90.249232	37.685245	101.867603	0.000000	0.000000	1.830296	2.984681	0.000000	0.000000	54.223320	22.272830	67.537678	23.266403	81.908539	40.255591	88.069177	29.895575	23.470698	27.232132	31.840700	"M"
"C10020"	10.583785	8.116514	0.000000	552.768533	10.372714	533.847615	10.817888	1531.643950	0.000000	0.000000	0.000000	0.000000	10.336718	5.448390	1726.119593	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.984360	4.700868	6.656591	4.371250	1474.092410	488.806114	1030.736494	222.301863	6.321961	29.915065	37.656959	"M"
"C10021"	21.497832	19.011741	1.609786	23.545190	2.823238	24.701171	51.607291	72.365174	1.709802	0.000000	0.162734	0.000000	51.971845	28.721945	54.253200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	33.261730	15.479321	44.336842	12.441029	65.339992	13.611789	55.444092	8.682582	19.763711	22.722780	42.104883	"M"
"C10022"	27.900003	25.597427	5.083769	53.873531	4.844740	55.607509	52.009370	211.795495	6.847379	0.000000	0.159229	0.000000	61.081003	62.780171	312.198518	0.000000	0.000000	1.094111	0.418768	1.501946	2.416198	25.710087	10.458929	50.957867	8.665660	177.206576	43.185152	134.919022	9.923027	17.642708	20.541337	27.027585	"M"
"C10023"	43.994322	25.192620	23.234802	48.568619	30.168455	69.287487	53.938493	116.642185	111.236690	0.000000	1.055528	0.161812	159.939568	66.243057	277.261493	0.000000	0.000000	0.000000	0.000000	0.329531	0.094937	37.140363	16.867887	116.916566	47.000782	89.595048	45.419558	262.096051	113.923361	26.779039	29.669357	40.483392	"M"
"C10024"	35.060532	35.247556	1.139670	33.345442	5.831423	38.820984	329.199895	164.188275	19.021242	0.000000	0.000000	0.000000	341.311802	514.860097	195.785029	0.000000	0.000000	0.000000	0.000000	1.906592	3.272408	217.953674	96.972750	279.162971	73.220883	133.668800	50.090603	137.696680	35.356977	28.715372	29.518213	50.948571	"M"
"C10025"	20.823833	19.851152	0.972498	27.019405	3.595662	28.954117	81.680505	145.313914	1.113511	0.000000	0.000000	0.000000	81.151756	51.012859	85.635339	0.000000	0.000000	0.165318	0.055656	5.227759	7.029980	45.781811	24.863637	54.386967	22.798581	96.472905	52.332406	95.022289	44.733430	23.074988	26.157332	39.515493	"M"
"C10026"	44.545988	41.359130	6.220566	75.900928	6.746444	76.483743	329.286083	389.296013	89.061745	0.935525	0.475241	0.000000	391.154188	395.424795	525.485948	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	159.179304	96.008690	318.013067	101.740892	317.741782	90.027637	324.891594	79.143752	27.306718	28.091347	38.814398	"M"
"C10027"	21.732701	21.231308	1.620951	37.233895	5.584220	42.225944	55.139873	152.072266	1.556433	0.000000	0.332245	0.000000	57.462542	44.572427	151.452637	0.000000	0.000000	0.000000	0.000000	0.163860	0.016176	28.296050	15.373814	44.482365	13.981567	128.101232	34.485226	112.242258	23.234174	23.146248	27.487587	33.447363	"F"
"C10028"	77.605750	73.505768	7.836589	61.001008	9.273552	71.139452	194.105988	190.295892	8.712039	0.000000	0.458197	1.056560	195.432996	233.304905	265.377627	0.000000	0.078066	0.000000	0.000000	1.929239	2.742627	121.354593	44.358669	161.791698	37.282623	164.047014	50.283654	139.184597	26.005147	27.020342	27.020171	41.917320	"M"
"C10029"	6.962940	4.929317	2.994051	12.305940	4.459321	16.191262	7.331524	32.871789	4.194812	0.000000	0.000000	0.000000	11.082780	4.124640	77.402744	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.656581	3.141105	7.276598	4.335639	29.639339	7.609838	23.805841	6.707109	8.373789	14.748732	32.729177	"F"
"C10030"	183.860033	155.318022	2.334638	189.950169	14.357488	195.680136	514.439380	605.262118	2.920642	0.000000	1.283843	0.000000	521.446979	597.310731	638.250191	0.000000	0.078429	10.980670	11.133018	0.301593	0.593064	417.654800	91.429655	459.470392	72.217212	595.238848	121.521672	508.400962	72.755096	29.192798	28.131737	52.268356	"M"
"C10031"	26.416326	25.210702	2.053580	21.665615	5.434893	24.806016	180.705352	141.208661	7.552793	0.000000	2.645668	14.263771	204.898900	180.133650	104.043985	0.000000	1.992958	0.000000	0.000000	0.000000	0.000000	68.169215	58.383100	143.800304	53.656105	119.512921	38.699869	108.205218	31.833398	14.067304	15.349875	34.888678	"M"
