CUST_ID	OUT_COMMUNITY_TOTAL	OUT_COMMUNITY_VOICE	OUT_COMMUNITY_SMS	IN_COMMUNITY_VOICE	IN_COMMUNITY_SMS	IN_COMMUNITY_TOTAL	VOICE_OUT_CALLS	VOICE_IN_CALLS	SMS_OUT_CALLS	MMS_OUT_CALLS	EVENTS_CALLS	INTERNET_CALLS	TOTAL_OUT_CALLS	VOICE_OUT_MINS	VOICE_IN_MINS	GPRS_TRAFFIC	EVENTS_TRAFFIC	OUT_CALLS_ROAMING	OUT_MINS_ROAMING	OUT_CALLS_INTERNATIONAL	OUT_MINS_INTERNATIONAL	OUT_CALLS_PEAK	OUT_CALLS_OFFPEAK	OUT_CALLS_WORK	OUT_CALLS_NONWORK	IN_CALLS_PEAK	IN_CALLS_OFFPEAK	IN_CALLS_WORK	IN_CALLS_NONWORK	DAYS_OUT	DAYS_IN	AGE	GENDER	PRC_VOICE_OUT_CALLS	PRC_SMS_OUT_CALLS	PRC_EVENTS_CALLS	PRC_INTERNET_CALLS	PRC_OUT_CALLS_INTERNATIONAL	PRC_OUT_CALLS_ROAMING	PRC_MMS_OUT_CALLS	PRC_OUT_CALLS_PEAK	PRC_OUT_CALLS_OFFPEAK	PRC_OUT_CALLS_WORK	PRC_OUT_CALLS_NONWORK	PRC_IN_CALLS_PEAK	PRC_IN_CALLS_OFFPEAK	PRC_IN_CALLS_WORK	PRC_IN_CALLS_NONWORK	PRC_OUT_COMMUNITY_VOICE	PRC_OUT_COMMUNITY_SMS	PRC_IN_COMMUNITY_VOICE	PRC_IN_COMMUNITY_SMS	ACD_OUT	ACD_IN
"C10001"	9.959105	9.543413	0.755283	25.070877	3.224588	26.999948	23.938515	85.208720	0.952386	0.000000	0.000000	0.920169	28.668445	16.700412	86.891121	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.143485	10.706261	15.592447	10.106147	65.358291	27.674411	61.996454	23.527143	15.408944	25.568987	57.175193	"F"	0.835013	0.033221	0.000000	0.032097	0.000000	0.000000	0.000000	0.510005	0.489995	0.606743	0.393257	0.702530	0.297470	0.724905	0.275095	0.958260	0.075838	0.928553	0.119429	0.697638	1.019744
"C10002"	62.621553	61.004625	13.382496	55.258668	14.570813	58.832688	339.326176	400.972355	261.548570	1.093367	3.560414	0.000000	677.340624	664.347116	913.070923	3.678821	0.000000	13.956814	35.291712	1.125876	7.711697	225.727565	66.803394	529.763038	128.432213	322.393759	98.316321	925.015220	206.125083	29.733313	28.856831	42.323506	"M"	0.500968	0.386140	0.005256	0.000000	0.001662	0.020605	0.001614	0.771636	0.228364	0.804872	0.195128	0.766309	0.233691	0.817772	0.182228	0.974179	0.213704	0.939251	0.247665	1.957842	2.277142
"C10003"	37.708142	38.431589	3.457559	32.674331	5.602626	33.909000	201.631700	275.943749	6.485728	0.000000	0.310269	0.000000	218.228683	197.727674	203.205333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	105.521609	56.651500	174.566293	50.968616	247.108048	87.037243	163.319548	39.957732	27.578582	28.062449	43.603240	"M"	0.923947	0.029720	0.001422	0.000000	0.000000	0.000000	0.000000	0.650673	0.349327	0.774010	0.225990	0.739523	0.260477	0.803432	0.196568	1.019185	0.091693	0.963589	0.165225	0.980638	0.736401
"C10004"	11.657388	5.812149	4.521838	26.685568	7.822684	32.037527	13.380224	80.397415	10.300143	0.000000	0.158167	0.000000	23.937014	4.764182	25.750043	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.772130	4.713134	16.088964	6.952836	65.028301	31.081857	86.425967	15.754817	10.905713	20.786581	35.870610	"M"	0.558976	0.430302	0.006608	0.000000	0.000000	0.000000	0.000000	0.622504	0.377496	0.698251	0.301749	0.676602	0.323398	0.845814	0.154186	0.498581	0.387895	0.832947	0.244173	0.356061	0.320284
"C10005"	22.688819	16.822096	2.902318	37.656375	3.455395	40.061273	22.682055	60.782144	2.323378	0.000000	37.131677	0.000000	61.045597	18.183783	25.424203	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12.590650	4.394673	22.224157	43.493611	52.542269	15.430705	42.309277	46.655732	10.680404	22.630735	25.292489	"M"	0.371559	0.038060	0.608261	0.000000	0.000000	0.000000	0.000000	0.741266	0.258734	0.338176	0.661824	0.772988	0.227012	0.475572	0.524428	0.741427	0.127918	0.939970	0.086253	0.801681	0.418284
"C10006"	56.804762	57.970657	1.259928	133.629934	4.146556	145.274913	269.141450	642.500982	0.469933	0.000000	1.556640	0.000000	274.199389	248.276173	411.940086	0.000000	0.000000	0.000000	0.000000	15.321402	14.517825	170.502855	69.990338	216.142629	51.186459	577.362318	181.987602	402.502149	80.818048	28.476052	29.476151	42.768254	"F"	0.981554	0.001714	0.005677	0.000000	0.055877	0.000000	0.000000	0.708972	0.291028	0.808526	0.191474	0.760338	0.239662	0.832786	0.167214	1.020525	0.022180	0.919842	0.028543	0.922475	0.641151
"C10007"	7.344621	7.568175	0.000000	5.382491	2.011790	7.229803	31.847069	33.420685	0.000000	0.000000	0.000000	10.346492	40.158942	238.610888	27.261042	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	19.901059	11.072350	26.479580	5.575935	37.189214	7.224928	24.151359	3.732971	12.846271	11.293585	36.812253	"M"	0.793026	0.000000	0.000000	0.257639	0.000000	0.000000	0.000000	0.642521	0.357479	0.826054	0.173946	0.837328	0.162672	0.866127	0.133873	1.030438	0.000000	0.744487	0.278263	7.492397	0.815694
"C10008"	49.443307	51.655346	1.096774	50.860433	4.875016	52.919025	191.600156	173.574420	1.261340	0.000000	0.000000	0.154901	193.702688	168.927745	159.041261	0.000000	0.000000	0.157695	0.165281	0.000000	0.000000	141.280700	40.555243	166.480913	33.662780	152.440926	41.862474	119.940422	20.987389	27.713534	27.264337	33.653822	"M"	0.989146	0.006512	0.000000	0.000800	0.000000	0.000814	0.000000	0.776968	0.223032	0.831807	0.168193	0.784551	0.215449	0.851077	0.148923	1.044739	0.022182	0.961099	0.092122	0.881668	0.916271
"C10009"	13.985847	8.795198	7.619644	17.642486	8.958838	26.077874	15.270761	53.003820	21.281562	0.000000	8.371286	0.000000	44.115693	16.085983	80.571631	0.000000	0.000000	0.486438	0.314969	0.000000	0.000000	12.933298	1.410143	42.649189	3.403081	51.107831	9.994469	66.307519	6.179290	6.074130	11.770635	36.785642	"F"	0.346153	0.482403	0.189758	0.000000	0.000000	0.011026	0.000000	0.901687	0.098313	0.926104	0.073896	0.836431	0.163569	0.914753	0.085247	0.628864	0.544811	0.676531	0.343542	1.053385	1.520110
"C10010"	28.611457	24.781626	3.552913	26.942283	8.425583	31.652434	132.531121	121.525614	6.587937	0.000000	0.979404	0.000000	135.162181	158.511080	144.430578	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	74.554892	42.029186	112.437452	28.126645	91.370661	34.170037	97.214209	23.730915	26.343613	27.052228	0.000000	"F"	0.980534	0.048741	0.007246	0.000000	0.000000	0.000000	0.000000	0.639495	0.360505	0.799902	0.200098	0.727817	0.272183	0.803788	0.196212	0.866143	0.124178	0.851192	0.266191	1.196029	1.188478
"C10011"	36.784884	35.408154	1.815685	33.696038	7.333093	38.892541	224.309164	245.041336	6.253745	0.000000	0.615689	0.000000	241.913905	188.475689	193.640447	0.000000	0.088165	0.000000	0.000000	0.155933	0.183357	128.445648	63.597615	180.431040	53.301664	182.850990	73.369438	151.306608	43.893701	28.452821	27.598295	24.908119	"M"	0.927227	0.025851	0.002545	0.000000	0.000645	0.000000	0.000000	0.668837	0.331163	0.771955	0.228045	0.713647	0.286353	0.775135	0.224865	0.962573	0.049360	0.866388	0.188548	0.840250	0.790236
"C10012"	24.830947	22.973979	4.756172	22.898596	6.205465	26.116000	65.743527	178.059246	12.979926	0.000000	0.163651	0.000000	82.859134	58.896805	276.636645	0.238826	0.000000	0.000000	0.000000	0.000000	0.000000	44.951265	17.181928	64.374291	13.978145	131.562945	81.197680	124.627979	36.399761	23.779965	27.788339	62.955825	"M"	0.793437	0.156651	0.001975	0.000000	0.000000	0.000000	0.000000	0.723466	0.276534	0.821599	0.178401	0.618361	0.381639	0.773953	0.226047	0.925216	0.191542	0.876803	0.237612	0.895857	1.553621
"C10013"	37.604171	35.947126	2.592441	62.157274	6.228892	69.735459	131.820477	208.222091	3.743584	0.000000	0.494224	0.000000	132.458424	99.922112	183.647736	0.000000	0.919088	0.000000	0.000000	0.000000	0.000000	72.415775	40.338569	98.837847	35.032397	181.146690	68.808802	164.970714	36.585131	29.643126	29.248227	30.089021	"M"	0.995184	0.028262	0.003731	0.000000	0.000000	0.000000	0.000000	0.642244	0.357756	0.738311	0.261689	0.724716	0.275284	0.818486	0.181514	0.955935	0.068940	0.891330	0.089322	0.758017	0.881980
